index,post_id,post_text,date,reaction_count,comments,shares,like,love,haha,wow,care,angry,sad
1,910863380635703,"TRÒN 1 NĂM DIỄN RA KOSMIK 💥☄️
Một trải nghiệm mà tất cả những người yêu quý âm nhạc của SpaceSpeakers sẽ không bao giờ quên!

Cảm ơn các bạn vì đã luôn đồng hành
Forever grateful for you bois 🔥

#KOSMIK #SpaceSpeakers",2023-11-12,567,6,6,446,111,1.0,3.0,6.0,0.0,0.0
2,907540044301370,"Space bois & Space girls,
Its Maroon 5 🔥🔥🔥
See ya in PhuQuoc.

#Vinwonders #Vinfast #Maroon5",2023-11-05,445,4,0,376,63,0.0,4.0,2.0,0.0,0.0
3,906705411051500,"'Đan Xinh In Love' = Nhật kí tình Đan 💕

#Binz #Touliver #DanXinhInLove #SSLabel #WarnerMusicVietnam",2023-11-03,548,3,21,490,51,2.0,0.0,4.0,1.0,0.0
4,906220787766629,"Make Binz Da Poet feel loved 💗

#Binz #Touliver #DanXinhInLove #SSLabel #WarnerMusicVietnam",2023-11-02,1884,26,59,1681,186,7.0,1.0,8.0,1.0,0.0
5,906176837771024,"It's Xuân Đan's world and we're just living in it 🌈

'Make Me Feel' Official MV và Full EP ‘Đan Xinh In Love’ out now!

#Binz #Touliver #DanXinhInLove #SSLabel #WarnerMusicVietnam",2023-11-02,141,2,0,116,23,0.0,0.0,1.0,0.0,1.0
6,906074477781260,"💜 Binz ft. Touliver - 'Make Me Feel' Official MV 💜

Tonight at 20:00

#SSLabel #Binz #Touliver #HitMeUp #DanXinhInLove #WarnerMusicVietnam",2023-11-02,1680,21,4,1324,209,128.0,7.0,9.0,1.0,2.0
7,905200494535325,Sơ hở là prank và người được chọn - Soobin 👻,2023-10-31,2356,15,6,2065,9,280.0,0.0,1.0,0.0,1.0
8,905168817871826,"#12 🖤
HAPPY BIRTHDAY TO US

Cám ơn các spacebois và spacegirls đã đồng hành suốt 12 năm qua 🩶

SPACEBOIS NEVA SLEEP!

#SpaceSpeakers",2023-10-31,4112,30,21,3248,841,0.0,3.0,20.0,0.0,0.0
9,904533127935395,"""Điều tối cao nhất trong cuộc đời nghệ thuật là có thể viết giống mình và hát giống mình""

#Vietcetera #Binz #YeuLanh",2023-10-30,1069,3,4,1051,17,0.0,1.0,0.0,0.0,0.0
10,904215434633831,"Tracklist EP ‘Đan Xinh In Love’ 🕺🏼

Official Release
20:00 - 02.11.2023
Pre-save EP: https://wmvn.lnk.to/DXIL

#Binz #HitMeUp #DanXinhInLove #WarnerMusicVietnam",2023-10-29,3139,42,30,1695,193,1207.0,6.0,18.0,0.0,20.0
11,903624898026218,"Đếm xem còn bao ngày để nghe trọn vẹn EP nhỉ? 🎹

EP ‘ĐAN XINH IN LOVE’ (Xuân Đan ft Nomovodka)

Official Release
20:00 - 02.11.2023
Pre-save EP: https://wmvn.lnk.to/DXIL

#Binz #HitMeUp #DanXinhInLove #WarnerMusicVietnam",2023-10-28,717,9,3,578,110,22.0,3.0,2.0,1.0,1.0
12,902674608121247,"Hoàng hôn hôm nay xuất hiện lúc 20h tối 🌇 Soobin
#SOOBIN #SunsetInTheCity #SSLabel",2023-10-26,951,3,10,881,67,0.0,0.0,3.0,0.0,0.0
